Student_ID,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Performance_Ratio,GPA_avg,Health_Risk_Proxy,Stress_Level_Proxy,Study_Hours_Proxy,Sleep_Quality_Proxy,Physical_Activity,Mental_Depression,Mental_Anxiety,Daily_Study_Hours,Social_Media_Hours,Transport_User,Avg_Attendance,Teacher_Consultancy,Health_Issues_Reported,Target_encoded,StudentWorker,Living_With_Family
84184,1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.67,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,1.0,12.83,1,6.76,32.99,2,2,1,0,3.0,7.0,1,99,0,0.0,1,1,0
36135,1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33,0,16.2,0.3,-0.92,Graduate,1.0,12.17,0,1.35,42.73,0,0,1,0,2.0,2.0,0,98,1,0.0,2,0,0
71093,1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.93,0,0,7,7,6,13.72,0,16.2,0.3,-0.92,Enrolled,0.86,13.32,0,6.13,43.76,1,2,1,0,1.0,3.0,0,90,1,0.0,1,0,1
82480,1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.86,0,0,6,17,5,10.57,0,16.2,0.3,-0.92,Enrolled,0.83,11.21,1,9.19,29.42,2,2,1,0,7.0,3.0,0,100,0,1.0,1,1,1
24664,1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.83,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,1.0,13.12,2,7.22,26.83,2,0,1,0,4.0,2.0,1,95,0,0.0,2,1,0
23943,1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.33,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0.6,12.42,1,2.84,29.42,2,2,0,0,5.0,3.0,0,98,1,0.0,1,0,0
15711,1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.67,0,0,6,8,6,14.38,0,12.4,0.5,1.79,Graduate,1.0,13.52,1,6.14,35.99,2,1,0,0,8.0,1.0,1,100,1,0.0,2,0,0
92139,1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.43,0,13.9,-0.3,0.79,Graduate,1.0,12.91,1,9.47,30.45,1,2,0,0,3.0,1.0,1,90,0,0.0,2,0,0
37753,1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,0.0,5.0,1,3.33,41.61,2,1,0,0,2.0,7.0,0,100,0,0.0,0,0,1
14199,1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,1,6.2,19.87,2,0,0,0,3.0,2.0,1,85,1,0.0,0,0,1
66910,1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,0.2,11.0,1,5.19,59.86,2,1,0,0,3.0,1.0,0,97,1,0.0,0,0,0
48001,4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,1.0,11.3,1,1.96,28.76,2,0,1,0,2.0,3.0,0,100,1,1.0,2,0,0
33561,1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.67,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,0.5,11.83,2,1.99,27.44,2,2,0,0,2.0,3.0,1,90,1,0.0,0,0,1
34724,1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0.67,6.38,1,1.37,28.4,2,1,1,0,2.0,3.0,0,95,1,0.0,0,0,0
39261,1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,1.0,15.3,0,5.37,41.49,2,1,1,1,3.0,2.0,1,100,1,1.0,2,0,1
19146,1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.93,0,0,8,9,7,14.34,0,11.1,0.6,2.02,Graduate,0.71,14.14,0,5.54,29.1,2,2,0,1,3.0,6.0,0,100,1,0.0,2,0,0
99082,1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,0.67,13.4,1,2.08,18.85,1,2,0,1,2.0,2.0,1,100,1,0.0,0,0,1
36217,1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0.0,0.0,1,3.43,30.05,1,2,1,1,2.0,2.0,0,75,1,0.0,0,0,1
36969,1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33,1,7.6,2.6,0.32,Enrolled,0.4,12.92,1,1.44,31.43,2,2,0,0,5.0,2.0,1,88,0,0.0,1,0,1
50858,1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.67,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,1.0,12.43,1,4.7,28.82,2,0,1,0,2.0,2.0,0,95,0,1.0,2,0,0
43480,1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.52,0,0,8,9,7,13.77,0,11.1,0.6,2.02,Graduate,0.86,13.64,2,6.67,42.75,2,1,1,1,1.0,4.0,1,70,1,0.0,2,0,0
34199,1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.29,0,12.4,0.5,1.79,Graduate,1.0,12.39,1,9.46,27.91,0,1,1,0,3.0,8.0,1,100,0,0.0,2,0,1
82953,1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.33,0,0,6,7,6,12.83,0,12.7,3.7,-1.7,Graduate,0.83,12.58,1,1.45,27.44,1,2,1,1,3.0,1.0,0,95,0,0.0,2,1,0
24943,1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.67,0,0,6,6,6,14.17,0,12.4,0.5,1.79,Graduate,1.0,13.92,2,8.22,34.36,0,1,1,1,2.0,2.0,1,100,1,0.0,2,0,1
38112,1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.83,0,0,8,10,6,11.83,0,9.4,-0.8,-3.12,Enrolled,0.75,11.83,0,6.74,38.65,1,2,1,0,3.0,3.0,0,95,1,,1,0,1
57667,1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,0.67,12.5,1,7.24,25.06,2,1,0,0,3.0,6.0,0,60,1,0.0,1,0,0
70754,1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.71,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,1.0,15.26,0,5.12,30.14,0,0,0,0,5.0,7.0,1,96,1,0.0,2,0,1
71933,1,39,1,9991,0,1,130.0,1,38,38,9,9,120.0,0,0,0,1,0,0,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,1.0,10.8,1,1.23,35.55,2,0,0,1,5.0,3.0,1,95,1,0.0,0,0,1
14645,1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.04,0,0,8,10,8,13.6,0,15.5,2.8,-4.06,Graduate,1.0,13.32,2,4.95,32.48,2,1,0,0,4.0,2.0,1,80,0,0.0,2,1,0
21436,2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0.0,0.0,2,6.33,22.71,1,0,0,1,2.0,3.0,0,100,1,0.0,0,0,0
21863,1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,0.83,12.95,1,9.7,37.28,2,1,1,1,1.0,1.0,0,97,0,0.0,0,0,1
85421,1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.94,0,0,8,8,8,14.94,0,9.4,-0.8,-3.12,Graduate,1.0,14.94,2,6.68,35.9,2,2,0,1,1.0,3.0,0,100,1,1.0,2,0,0
82950,1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,,0.0,0,8.93,33.0,2,2,0,1,3.0,3.0,0,100,1,0.0,1,0,1
55882,1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.13,0,0,8,12,7,12.22,0,16.2,0.3,-0.92,Graduate,0.86,12.68,1,1.52,37.89,1,1,0,0,4.0,1.0,1,86,0,0.0,2,0,1
96473,1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,1.0,12.0,1,9.73,25.08,1,0,0,0,2.0,2.0,0,100,1,0.0,2,0,0
59196,1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,,0.0,1,6.83,33.53,1,1,0,0,2.0,3.0,0,97,1,0.0,1,0,1
44516,1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,0.83,10.7,0,3.14,34.7,0,0,1,0,5.0,4.0,0,99,1,0.0,1,0,0
31608,1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0.0,0.0,1,6.83,22.85,1,1,0,0,1.0,12.0,1,90,0,,1,1,1
94681,4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,0.71,11.45,2,6.71,39.98,2,1,0,1,3.0,2.0,1,95,1,0.0,0,0,1
81962,1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,,0.0,0,8.03,31.97,1,0,1,0,8.0,5.0,1,100,1,0.0,2,0,0
47557,1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.57,0,0,6,7,6,12.43,0,8.9,1.4,3.51,Graduate,1.0,12.5,0,7.23,28.73,1,1,1,1,2.0,2.0,0,90,0,0.0,2,0,0
48317,1,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,1.0,10.98,1,3.63,48.44,2,2,0,0,1.0,2.0,1,100,1,0.0,0,0,0
74520,1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,1.0,11.4,1,1.65,39.93,1,1,0,0,4.0,15.0,1,91,0,0.0,1,0,0
95590,1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.0,0.0,0,4.19,40.36,0,0,1,1,6.0,3.0,0,70,1,1.0,1,0,1
31396,1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.98,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,1.0,12.86,1,2.11,31.97,1,1,0,1,2.0,1.0,1,85,0,0.0,2,0,0
84154,1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,,0.0,1,5.53,21.19,2,0,0,0,0.0,2.0,1,100,0,1.0,0,0,1
69362,1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.67,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,0.5,11.83,1,1.82,41.46,0,0,0,0,5.0,4.0,0,95,1,0.0,0,0,1
98559,1,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.33,0,0,6,11,3,12.33,0,10.8,1.4,1.74,Graduate,1.0,12.33,0,5.1,32.81,1,1,1,1,4.0,3.0,1,90,0,0.0,2,0,1
78101,1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.33,0,0,5,11,3,10.86,0,10.8,1.4,1.74,Dropout,0.6,10.6,1,4.2,37.48,2,1,0,0,1.0,8.0,0,98,0,0.0,0,0,0
71227,1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,0.67,10.75,1,6.77,25.51,0,2,0,0,3.0,4.0,0,100,0,0.0,0,0,1
46442,1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.67,0,0,6,6,6,13.33,0,8.9,1.4,3.51,Graduate,1.0,13.5,1,5.55,28.5,0,2,0,1,1.0,6.0,1,77,0,0.0,2,0,0
14891,1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.84,0,0,8,9,8,15.06,0,16.2,0.3,-0.92,Graduate,1.0,14.95,1,9.54,30.39,2,1,0,0,1.0,2.0,0,95,1,0.0,2,1,0
69373,2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.67,0,10.8,1.4,1.74,Graduate,1.0,11.83,0,1.18,47.62,1,2,0,0,3.0,6.0,0,95,0,1.0,2,0,0
21550,1,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,0.83,12.2,1,2.5,22.99,2,1,0,0,3.0,2.0,0,46,0,0.0,0,0,0
84436,1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.0,0.0,1,1.01,27.0,2,1,1,0,3.0,1.0,0,100,1,0.0,0,0,1
72610,1,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.17,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,0.5,12.73,1,7.0,24.69,1,1,0,0,3.0,1.0,0,90,0,1.0,0,0,0
85845,1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.33,0,12.7,3.7,-1.7,Enrolled,1.0,11.67,1,5.24,12.48,1,1,1,0,2.0,2.0,1,100,1,0.0,1,0,1
42289,2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,1.0,11.0,2,6.85,5.0,1,0,1,1,1.0,2.0,0,88,1,1.0,2,0,1
35400,1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,0.88,13.08,1,5.13,37.94,1,2,1,0,3.0,6.0,0,100,1,0.0,2,0,0
95846,1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,0.8,11.05,2,2.5,33.0,1,1,0,1,3.0,1.0,1,95,0,0.0,2,0,1
80958,1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.67,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,1.0,10.93,2,2.91,22.52,2,1,0,0,2.0,2.0,0,85,1,0.0,2,0,1
49225,1,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,0.8,13.9,1,2.69,30.94,2,0,0,0,0.0,3.0,0,100,0,0.0,1,0,1
